slug,name,clinic,state,current_image
dr-jessica-taylor-middletown,"Dr. Jessica Taylor, MD","Middletown Mental Health & TMS",DE,dicebear
dr-alan-taylor-bear,"Dr. Alan Taylor, MD","Bear TMS Center",DE,dicebear
dr-jessica-garcia-bear,"Dr. Jessica Garcia, MD","Bear Mental Health & TMS",DE,dicebear
dr-alan-patel-bear,"Dr. Alan Patel, MD","Bear Depression Treatment Center",DE,dicebear
dr-michael-jackson-bear,"Dr. Michael Jackson, MD","Bear Depression Treatment Center",DE,dicebear
dr-alan-wilson-bear,"Dr. Alan Wilson, MD","Bear Depression Treatment Center",DE,dicebear
dr-lisa-smith-bear,"Dr. Lisa Smith, MD","Dr. Smith Private Practice",DE,dicebear
dr-jessica-wilson-bear,"Dr. Jessica Wilson, MD","Dr. Smith Private Practice",DE,dicebear
dr-jessica-lee-jacksonville,"Dr. Jessica Lee, MD","Jacksonville TMS Center",FL,dicebear
dr-maria-smith-jacksonville,"Dr. Maria Smith, MD","Jacksonville TMS Center",FL,dicebear
dr-jennifer-brown-jacksonville,"Dr. Jennifer Brown, MD","Jacksonville Mental Health & TMS",FL,dicebear
dr-alan-patel-jacksonville,"Dr. Alan Patel, MD","Jacksonville Mental Health & TMS",FL,dicebear
dr-michael-johnson-jacksonville,"Dr. Michael Johnson, MD","Jacksonville Mental Health & TMS",FL,dicebear
dr-christopher-taylor-jacksonville,"Dr. Christopher Taylor, MD","Jacksonville Depression Treatment Center",FL,dicebear
dr-jessica-thomas-jacksonville,"Dr. Jessica Thomas, MD","Dr. Thomas Private Practice",FL,dicebear
dr-sarah-wilson-miami,"Dr. Sarah Wilson, MD","Miami TMS Center",FL,dicebear
dr-elizabeth-brown-miami,"Dr. Elizabeth Brown, MD","Miami Mental Health & TMS",FL,dicebear
dr-christopher-jackson-miami,"Dr. Christopher Jackson, MD","Miami Mental Health & TMS",FL,dicebear
dr-david-davis-miami,"Dr. David Davis, MD","Miami Depression Treatment Center",FL,dicebear
dr-jennifer-patel-miami,"Dr. Jennifer Patel, MD","Miami Depression Treatment Center",FL,dicebear
dr-jennifer-kim-miami,"Dr. Jennifer Kim, MD","Miami Depression Treatment Center",FL,dicebear
dr-christopher-kim-miami,"Dr. Christopher Kim, MD","Dr. Kim Private Practice",FL,dicebear
dr-jessica-anderson-miami,"Dr. Jessica Anderson, MD","Dr. Kim Private Practice",FL,dicebear
dr-alan-taylor-miami,"Dr. Alan Taylor, MD","Dr. Kim Private Practice",FL,dicebear
dr-robert-moore-tampa,"Dr. Robert Moore, MD","Tampa TMS Center",FL,dicebear
dr-alan-smith-tampa,"Dr. Alan Smith, MD","Tampa TMS Center",FL,dicebear
dr-christopher-davis-tampa,"Dr. Christopher Davis, MD","Tampa TMS Center",FL,dicebear
dr-elizabeth-taylor-tampa,"Dr. Elizabeth Taylor, MD","Tampa Mental Health & TMS",FL,dicebear
dr-christopher-wilson-tampa,"Dr. Christopher Wilson, MD","Tampa Mental Health & TMS",FL,dicebear
dr-michael-wong-tampa,"Dr. Michael Wong, MD","Tampa Depression Treatment Center",FL,dicebear
dr-christopher-lee-tampa,"Dr. Christopher Lee, MD","Tampa Depression Treatment Center",FL,dicebear
dr-william-davis-orlando,"Dr. William Davis, MD","Orlando TMS Center",FL,dicebear
dr-daniel-anderson-orlando,"Dr. Daniel Anderson, MD","Orlando TMS Center",FL,dicebear
dr-alan-jackson-orlando,"Dr. Alan Jackson, MD","Orlando Mental Health & TMS",FL,dicebear
dr-william-smith-orlando,"Dr. William Smith, MD","Orlando Depression Treatment Center",FL,dicebear
dr-sarah-taylor-orlando,"Dr. Sarah Taylor, MD","Orlando Depression Treatment Center",FL,dicebear
dr-michael-anderson-orlando,"Dr. Michael Anderson, MD","Orlando Depression Treatment Center",FL,dicebear
dr-jessica-garcia-orlando,"Dr. Jessica Garcia, MD","Dr. Garcia Private Practice",FL,dicebear
dr-david-jackson-orlando,"Dr. David Jackson, MD","Dr. Garcia Private Practice",FL,dicebear
dr-jessica-moore-st-petersburg,"Dr. Jessica Moore, MD","St. Petersburg TMS Center",FL,dicebear
dr-james-johnson-st-petersburg,"Dr. James Johnson, MD","St. Petersburg Mental Health & TMS",FL,dicebear
dr-david-thomas-st-petersburg,"Dr. David Thomas, MD","St. Petersburg Mental Health & TMS",FL,dicebear
dr-jessica-patel-st-petersburg,"Dr. Jessica Patel, MD","St. Petersburg Mental Health & TMS",FL,dicebear
dr-jennifer-patel-st-petersburg,"Dr. Jennifer Patel, MD","St. Petersburg Depression Treatment Center",FL,dicebear
dr-lisa-johnson-st-petersburg,"Dr. Lisa Johnson, MD","St. Petersburg Depression Treatment Center",FL,dicebear
dr-jennifer-anderson-st-petersburg,"Dr. Jennifer Anderson, MD","St. Petersburg Depression Treatment Center",FL,dicebear
dr-david-wong-st-petersburg,"Dr. David Wong, MD","Dr. Wong Private Practice",FL,dicebear
dr-daniel-martinez-st-petersburg,"Dr. Daniel Martinez, MD","Dr. Wong Private Practice",FL,dicebear
dr-alan-davis-st-petersburg,"Dr. Alan Davis, MD","Dr. Wong Private Practice",FL,dicebear
dr-robert-anderson-atlanta,"Dr. Robert Anderson, MD","Atlanta TMS Center",GA,dicebear
dr-sarah-patel-atlanta,"Dr. Sarah Patel, MD","Atlanta TMS Center",GA,dicebear
dr-elizabeth-lee-atlanta,"Dr. Elizabeth Lee, MD","Atlanta Mental Health & TMS",GA,dicebear
dr-jennifer-patel-atlanta,"Dr. Jennifer Patel, MD","Atlanta Mental Health & TMS",GA,dicebear
dr-maria-davis-atlanta,"Dr. Maria Davis, MD","Atlanta Mental Health & TMS",GA,dicebear
dr-david-wilson-atlanta,"Dr. David Wilson, MD","Atlanta Depression Treatment Center",GA,dicebear
dr-alan-wilson-atlanta,"Dr. Alan Wilson, MD","Atlanta Depression Treatment Center",GA,dicebear
dr-alan-anderson-atlanta,"Dr. Alan Anderson, MD","Atlanta Depression Treatment Center",GA,dicebear
dr-maria-brown-augusta,"Dr. Maria Brown, MD","Augusta TMS Center",GA,dicebear
dr-jessica-jackson-augusta,"Dr. Jessica Jackson, MD","Augusta Mental Health & TMS",GA,dicebear
dr-michael-lee-augusta,"Dr. Michael Lee, MD","Augusta Mental Health & TMS",GA,dicebear
dr-jennifer-smith-augusta,"Dr. Jennifer Smith, MD","Augusta Mental Health & TMS",GA,dicebear
dr-ashley-davis-augusta,"Dr. Ashley Davis, MD","Augusta Depression Treatment Center",GA,dicebear
dr-emily-martinez-augusta,"Dr. Emily Martinez, MD","Augusta Depression Treatment Center",GA,dicebear
dr-lisa-wong-augusta,"Dr. Lisa Wong, MD","Augusta Depression Treatment Center",GA,dicebear
dr-james-jackson-augusta,"Dr. James Jackson, MD","Dr. Jackson Private Practice",GA,dicebear
dr-christopher-patel-augusta,"Dr. Christopher Patel, MD","Dr. Jackson Private Practice",GA,dicebear
dr-emily-wong-columbus,"Dr. Emily Wong, MD","Columbus TMS Center",GA,dicebear
dr-daniel-brown-columbus,"Dr. Daniel Brown, MD","Columbus Mental Health & TMS",GA,dicebear
dr-elizabeth-smith-columbus,"Dr. Elizabeth Smith, MD","Columbus Mental Health & TMS",GA,dicebear
dr-lisa-davis-columbus,"Dr. Lisa Davis, MD","Columbus Depression Treatment Center",GA,dicebear
dr-sarah-jackson-columbus,"Dr. Sarah Jackson, MD","Dr. Jackson Private Practice",GA,dicebear
dr-alan-garcia-macon,"Dr. Alan Garcia, MD","Macon TMS Center",GA,dicebear
dr-maria-davis-macon,"Dr. Maria Davis, MD","Macon TMS Center",GA,dicebear
dr-maria-smith-macon,"Dr. Maria Smith, MD","Macon TMS Center",GA,dicebear
dr-daniel-martinez-macon,"Dr. Daniel Martinez, MD","Macon Mental Health & TMS",GA,dicebear
dr-lisa-smith-macon,"Dr. Lisa Smith, MD","Macon Mental Health & TMS",GA,dicebear
dr-emily-patel-macon,"Dr. Emily Patel, MD","Macon Mental Health & TMS",GA,dicebear
dr-michael-brown-macon,"Dr. Michael Brown, MD","Macon Depression Treatment Center",GA,dicebear
dr-elizabeth-wilson-macon,"Dr. Elizabeth Wilson, MD","Macon Depression Treatment Center",GA,dicebear
dr-elizabeth-smith-macon,"Dr. Elizabeth Smith, MD","Macon Depression Treatment Center",GA,dicebear
dr-ashley-lee-macon,"Dr. Ashley Lee, MD","Dr. Lee Private Practice",GA,dicebear
dr-alan-wong-macon,"Dr. Alan Wong, MD","Dr. Lee Private Practice",GA,dicebear
dr-daniel-jackson-savannah,"Dr. Daniel Jackson, MD","Savannah TMS Center",GA,dicebear
dr-robert-martinez-savannah,"Dr. Robert Martinez, MD","Savannah TMS Center",GA,dicebear
dr-david-davis-savannah,"Dr. David Davis, MD","Savannah TMS Center",GA,dicebear
dr-david-wong-savannah,"Dr. David Wong, MD","Savannah Mental Health & TMS",GA,dicebear
dr-jessica-moore-savannah,"Dr. Jessica Moore, MD","Savannah Depression Treatment Center",GA,dicebear
dr-robert-davis-savannah,"Dr. Robert Davis, MD","Savannah Depression Treatment Center",GA,dicebear
dr-jennifer-wilson-savannah,"Dr. Jennifer Wilson, MD","Savannah Depression Treatment Center",GA,dicebear
dr-elizabeth-moore-honolulu,"Dr. Elizabeth Moore, MD","Honolulu TMS Center",HI,dicebear
dr-jennifer-anderson-honolulu,"Dr. Jennifer Anderson, MD","Honolulu Mental Health & TMS",HI,dicebear
dr-maria-davis-honolulu,"Dr. Maria Davis, MD","Honolulu Mental Health & TMS",HI,dicebear
dr-sarah-kim-honolulu,"Dr. Sarah Kim, MD","Honolulu Depression Treatment Center",HI,dicebear
dr-david-davis-honolulu,"Dr. David Davis, MD","Honolulu Depression Treatment Center",HI,dicebear
dr-michael-davis-honolulu,"Dr. Michael Davis, MD","Honolulu Depression Treatment Center",HI,dicebear
dr-david-taylor-honolulu,"Dr. David Taylor, MD","Dr. Taylor Private Practice",HI,dicebear
dr-alan-brown-honolulu,"Dr. Alan Brown, MD","Dr. Taylor Private Practice",HI,dicebear
dr-ashley-moore-east-honolulu,"Dr. Ashley Moore, MD","East Honolulu TMS Center",HI,dicebear
dr-jennifer-taylor-east-honolulu,"Dr. Jennifer Taylor, MD","East Honolulu Mental Health & TMS",HI,dicebear
dr-sarah-brown-east-honolulu,"Dr. Sarah Brown, MD","East Honolulu Mental Health & TMS",HI,dicebear
dr-robert-taylor-east-honolulu,"Dr. Robert Taylor, MD","East Honolulu Mental Health & TMS",HI,dicebear
dr-lisa-patel-pearl-city,"Dr. Lisa Patel, MD","Pearl City TMS Center",HI,dicebear
dr-michael-martinez-pearl-city,"Dr. Michael Martinez, MD","Pearl City TMS Center",HI,dicebear
dr-elizabeth-kim-pearl-city,"Dr. Elizabeth Kim, MD","Pearl City TMS Center",HI,dicebear
dr-daniel-johnson-pearl-city,"Dr. Daniel Johnson, MD","Pearl City Mental Health & TMS",HI,dicebear
dr-lisa-lee-pearl-city,"Dr. Lisa Lee, MD","Pearl City Mental Health & TMS",HI,dicebear
dr-lisa-moore-pearl-city,"Dr. Lisa Moore, MD","Pearl City Mental Health & TMS",HI,dicebear
dr-william-smith-pearl-city,"Dr. William Smith, MD","Pearl City Depression Treatment Center",HI,dicebear
dr-maria-patel-pearl-city,"Dr. Maria Patel, MD","Pearl City Depression Treatment Center",HI,dicebear
dr-christopher-taylor-pearl-city,"Dr. Christopher Taylor, MD","Pearl City Depression Treatment Center",HI,dicebear
dr-michael-jackson-pearl-city,"Dr. Michael Jackson, MD","Dr. Jackson Private Practice",HI,dicebear
dr-elizabeth-lee-pearl-city,"Dr. Elizabeth Lee, MD","Dr. Jackson Private Practice",HI,dicebear
dr-emily-jackson-pearl-city,"Dr. Emily Jackson, MD","Dr. Jackson Private Practice",HI,dicebear
dr-christopher-johnson-hilo,"Dr. Christopher Johnson, MD","Hilo TMS Center",HI,dicebear
dr-lisa-jackson-hilo,"Dr. Lisa Jackson, MD","Hilo TMS Center",HI,dicebear
dr-michael-patel-hilo,"Dr. Michael Patel, MD","Hilo TMS Center",HI,dicebear
dr-daniel-johnson-hilo,"Dr. Daniel Johnson, MD","Hilo Mental Health & TMS",HI,dicebear
dr-maria-patel-hilo,"Dr. Maria Patel, MD","Hilo Mental Health & TMS",HI,dicebear
dr-daniel-wong-hilo,"Dr. Daniel Wong, MD","Hilo Mental Health & TMS",HI,dicebear
dr-elizabeth-thomas-hilo,"Dr. Elizabeth Thomas, MD","Hilo Depression Treatment Center",HI,dicebear
dr-elizabeth-jackson-hilo,"Dr. Elizabeth Jackson, MD","Dr. Jackson Private Practice",HI,dicebear
dr-lisa-wilson-waipahu,"Dr. Lisa Wilson, MD","Waipahu TMS Center",HI,dicebear
dr-emily-brown-waipahu,"Dr. Emily Brown, MD","Waipahu TMS Center",HI,dicebear
dr-sarah-wong-waipahu,"Dr. Sarah Wong, MD","Waipahu TMS Center",HI,dicebear
dr-sarah-jackson-waipahu,"Dr. Sarah Jackson, MD","Waipahu Mental Health & TMS",HI,dicebear
dr-lisa-moore-waipahu,"Dr. Lisa Moore, MD","Waipahu Mental Health & TMS",HI,dicebear
dr-ashley-johnson-boise,"Dr. Ashley Johnson, MD","Boise TMS Center",ID,dicebear
dr-daniel-lee-boise,"Dr. Daniel Lee, MD","Boise TMS Center",ID,dicebear
dr-elizabeth-martinez-boise,"Dr. Elizabeth Martinez, MD","Boise Mental Health & TMS",ID,dicebear
dr-david-smith-boise,"Dr. David Smith, MD","Boise Mental Health & TMS",ID,dicebear
dr-michael-taylor-meridian,"Dr. Michael Taylor, MD","Meridian TMS Center",ID,dicebear
dr-jessica-jackson-meridian,"Dr. Jessica Jackson, MD","Meridian TMS Center",ID,dicebear
dr-christopher-taylor-meridian,"Dr. Christopher Taylor, MD","Meridian Mental Health & TMS",ID,dicebear
dr-jennifer-garcia-meridian,"Dr. Jennifer Garcia, MD","Meridian Depression Treatment Center",ID,dicebear
dr-michael-lee-meridian,"Dr. Michael Lee, MD","Meridian Depression Treatment Center",ID,dicebear
dr-lisa-thomas-meridian,"Dr. Lisa Thomas, MD","Dr. Thomas Private Practice",ID,dicebear
dr-william-martinez-meridian,"Dr. William Martinez, MD","Dr. Thomas Private Practice",ID,dicebear
dr-robert-lee-nampa,"Dr. Robert Lee, MD","Nampa TMS Center",ID,dicebear
dr-robert-moore-nampa,"Dr. Robert Moore, MD","Nampa TMS Center",ID,dicebear
dr-michael-davis-nampa,"Dr. Michael Davis, MD","Nampa Mental Health & TMS",ID,dicebear
dr-alan-patel-nampa,"Dr. Alan Patel, MD","Nampa Mental Health & TMS",ID,dicebear
dr-maria-kim-idaho-falls,"Dr. Maria Kim, MD","Idaho Falls TMS Center",ID,dicebear
dr-alan-anderson-idaho-falls,"Dr. Alan Anderson, MD","Idaho Falls Mental Health & TMS",ID,dicebear
dr-robert-kim-idaho-falls,"Dr. Robert Kim, MD","Idaho Falls Mental Health & TMS",ID,dicebear
dr-emily-wong-idaho-falls,"Dr. Emily Wong, MD","Idaho Falls Depression Treatment Center",ID,dicebear
dr-daniel-brown-idaho-falls,"Dr. Daniel Brown, MD","Idaho Falls Depression Treatment Center",ID,dicebear
dr-sarah-martinez-idaho-falls,"Dr. Sarah Martinez, MD","Idaho Falls Depression Treatment Center",ID,dicebear
dr-emily-patel-idaho-falls,"Dr. Emily Patel, MD","Dr. Patel Private Practice",ID,dicebear
dr-daniel-smith-caldwell,"Dr. Daniel Smith, MD","Caldwell TMS Center",ID,dicebear
dr-lisa-jackson-caldwell,"Dr. Lisa Jackson, MD","Caldwell Mental Health & TMS",ID,dicebear
dr-lisa-wong-caldwell,"Dr. Lisa Wong, MD","Caldwell Mental Health & TMS",ID,dicebear
dr-alan-wilson-caldwell,"Dr. Alan Wilson, MD","Caldwell Depression Treatment Center",ID,dicebear
dr-emily-thomas-caldwell,"Dr. Emily Thomas, MD","Dr. Thomas Private Practice",ID,dicebear
dr-sarah-wong-caldwell,"Dr. Sarah Wong, MD","Dr. Thomas Private Practice",ID,dicebear
dr-jessica-johnson-chicago,"Dr. Jessica Johnson, MD","Chicago TMS Center",IL,dicebear
dr-jennifer-taylor-chicago,"Dr. Jennifer Taylor, MD","Chicago TMS Center",IL,dicebear
dr-christopher-patel-chicago,"Dr. Christopher Patel, MD","Chicago TMS Center",IL,dicebear
dr-maria-taylor-chicago,"Dr. Maria Taylor, MD","Chicago Mental Health & TMS",IL,dicebear
dr-ashley-wilson-chicago,"Dr. Ashley Wilson, MD","Chicago Mental Health & TMS",IL,dicebear
dr-christopher-lee-chicago,"Dr. Christopher Lee, MD","Chicago Depression Treatment Center",IL,dicebear
dr-robert-patel-chicago,"Dr. Robert Patel, MD","Chicago Depression Treatment Center",IL,dicebear
dr-maria-wilson-chicago,"Dr. Maria Wilson, MD","Chicago Depression Treatment Center",IL,dicebear
dr-lisa-moore-aurora,"Dr. Lisa Moore, MD","Aurora TMS Center",IL,dicebear
dr-ashley-martinez-aurora,"Dr. Ashley Martinez, MD","Aurora TMS Center",IL,dicebear
dr-lisa-thomas-aurora,"Dr. Lisa Thomas, MD","Aurora Mental Health & TMS",IL,dicebear
dr-christopher-davis-aurora,"Dr. Christopher Davis, MD","Aurora Mental Health & TMS",IL,dicebear
dr-maria-smith-aurora,"Dr. Maria Smith, MD","Aurora Mental Health & TMS",IL,dicebear
dr-ashley-davis-aurora,"Dr. Ashley Davis, MD","Aurora Depression Treatment Center",IL,dicebear
dr-jessica-lee-joliet,"Dr. Jessica Lee, MD","Joliet TMS Center",IL,dicebear
dr-emily-lee-joliet,"Dr. Emily Lee, MD","Joliet TMS Center",IL,dicebear
dr-elizabeth-wilson-joliet,"Dr. Elizabeth Wilson, MD","Joliet TMS Center",IL,dicebear
dr-daniel-brown-joliet,"Dr. Daniel Brown, MD","Joliet Mental Health & TMS",IL,dicebear
dr-michael-taylor-joliet,"Dr. Michael Taylor, MD","Joliet Mental Health & TMS",IL,dicebear
dr-william-moore-joliet,"Dr. William Moore, MD","Joliet Depression Treatment Center",IL,dicebear
dr-david-wong-joliet,"Dr. David Wong, MD","Joliet Depression Treatment Center",IL,dicebear
dr-william-martinez-joliet,"Dr. William Martinez, MD","Joliet Depression Treatment Center",IL,dicebear
dr-ashley-johnson-joliet,"Dr. Ashley Johnson, MD","Dr. Johnson Private Practice",IL,dicebear
dr-sarah-wilson-joliet,"Dr. Sarah Wilson, MD","Dr. Johnson Private Practice",IL,dicebear
dr-elizabeth-wong-naperville,"Dr. Elizabeth Wong, MD","Naperville TMS Center",IL,dicebear
dr-emily-brown-naperville,"Dr. Emily Brown, MD","Naperville TMS Center",IL,dicebear
dr-jennifer-moore-naperville,"Dr. Jennifer Moore, MD","Naperville Mental Health & TMS",IL,dicebear
dr-daniel-smith-naperville,"Dr. Daniel Smith, MD","Naperville Mental Health & TMS",IL,dicebear
dr-ashley-lee-naperville,"Dr. Ashley Lee, MD","Naperville Mental Health & TMS",IL,dicebear
dr-maria-brown-naperville,"Dr. Maria Brown, MD","Naperville Depression Treatment Center",IL,dicebear
dr-jessica-wong-rockford,"Dr. Jessica Wong, MD","Rockford TMS Center",IL,dicebear
dr-maria-wong-rockford,"Dr. Maria Wong, MD","Rockford TMS Center",IL,dicebear
dr-jessica-smith-rockford,"Dr. Jessica Smith, MD","Rockford TMS Center",IL,dicebear
dr-alan-taylor-rockford,"Dr. Alan Taylor, MD","Rockford Mental Health & TMS",IL,dicebear
dr-elizabeth-garcia-rockford,"Dr. Elizabeth Garcia, MD","Rockford Mental Health & TMS",IL,dicebear
dr-emily-taylor-rockford,"Dr. Emily Taylor, MD","Rockford Mental Health & TMS",IL,dicebear
dr-alan-wong-rockford,"Dr. Alan Wong, MD","Rockford Depression Treatment Center",IL,dicebear
dr-jessica-davis-rockford,"Dr. Jessica Davis, MD","Dr. Davis Private Practice",IL,dicebear
dr-james-lee-indianapolis,"Dr. James Lee, MD","Indianapolis TMS Center",IN,dicebear
dr-james-anderson-indianapolis,"Dr. James Anderson, MD","Indianapolis Mental Health & TMS",IN,dicebear
dr-jennifer-smith-fort-wayne,"Dr. Jennifer Smith, MD","Fort Wayne TMS Center",IN,dicebear
dr-emily-taylor-fort-wayne,"Dr. Emily Taylor, MD","Fort Wayne Mental Health & TMS",IN,dicebear
dr-robert-johnson-evansville,"Dr. Robert Johnson, MD","Evansville TMS Center",IN,dicebear
dr-michael-thomas-evansville,"Dr. Michael Thomas, MD","Evansville Mental Health & TMS",IN,dicebear
dr-alan-lee-evansville,"Dr. Alan Lee, MD","Evansville Mental Health & TMS",IN,dicebear
dr-alan-anderson-evansville,"Dr. Alan Anderson, MD","Evansville Depression Treatment Center",IN,dicebear
dr-james-taylor-south-bend,"Dr. James Taylor, MD","South Bend TMS Center",IN,dicebear
dr-robert-thomas-south-bend,"Dr. Robert Thomas, MD","South Bend TMS Center",IN,dicebear
dr-jessica-martinez-south-bend,"Dr. Jessica Martinez, MD","South Bend Mental Health & TMS",IN,dicebear
dr-jennifer-wilson-south-bend,"Dr. Jennifer Wilson, MD","South Bend Mental Health & TMS",IN,dicebear
dr-david-garcia-south-bend,"Dr. David Garcia, MD","South Bend Depression Treatment Center",IN,dicebear
dr-sarah-johnson-south-bend,"Dr. Sarah Johnson, MD","South Bend Depression Treatment Center",IN,dicebear
dr-ashley-johnson-south-bend,"Dr. Ashley Johnson, MD","South Bend Depression Treatment Center",IN,dicebear
dr-christopher-johnson-carmel,"Dr. Christopher Johnson, MD","Carmel TMS Center",IN,dicebear
dr-william-lee-carmel,"Dr. William Lee, MD","Carmel TMS Center",IN,dicebear
dr-alan-patel-carmel,"Dr. Alan Patel, MD","Carmel Mental Health & TMS",IN,dicebear
dr-christopher-wong-carmel,"Dr. Christopher Wong, MD","Carmel Mental Health & TMS",IN,dicebear
dr-alan-patel-carmel,"Dr. Alan Patel, MD","Carmel Mental Health & TMS",IN,dicebear
dr-alan-johnson-carmel,"Dr. Alan Johnson, MD","Carmel Depression Treatment Center",IN,dicebear
dr-maria-wilson-carmel,"Dr. Maria Wilson, MD","Carmel Depression Treatment Center",IN,dicebear
dr-ashley-wong-des-moines,"Dr. Ashley Wong, MD","Des Moines TMS Center",IA,dicebear
dr-michael-garcia-des-moines,"Dr. Michael Garcia, MD","Des Moines TMS Center",IA,dicebear
dr-elizabeth-martinez-des-moines,"Dr. Elizabeth Martinez, MD","Des Moines TMS Center",IA,dicebear
dr-emily-kim-des-moines,"Dr. Emily Kim, MD","Des Moines Mental Health & TMS",IA,dicebear
dr-lisa-anderson-des-moines,"Dr. Lisa Anderson, MD","Des Moines Mental Health & TMS",IA,dicebear
dr-emily-garcia-des-moines,"Dr. Emily Garcia, MD","Des Moines Mental Health & TMS",IA,dicebear
dr-william-taylor-cedar-rapids,"Dr. William Taylor, MD","Cedar Rapids TMS Center",IA,dicebear
dr-lisa-taylor-cedar-rapids,"Dr. Lisa Taylor, MD","Cedar Rapids Mental Health & TMS",IA,dicebear
dr-sarah-smith-cedar-rapids,"Dr. Sarah Smith, MD","Cedar Rapids Depression Treatment Center",IA,dicebear
dr-daniel-wilson-cedar-rapids,"Dr. Daniel Wilson, MD","Cedar Rapids Depression Treatment Center",IA,dicebear
dr-james-jackson-davenport,"Dr. James Jackson, MD","Davenport TMS Center",IA,dicebear
dr-ashley-jackson-davenport,"Dr. Ashley Jackson, MD","Davenport TMS Center",IA,dicebear
dr-elizabeth-johnson-davenport,"Dr. Elizabeth Johnson, MD","Davenport TMS Center",IA,dicebear
dr-michael-patel-davenport,"Dr. Michael Patel, MD","Davenport Mental Health & TMS",IA,dicebear
dr-christopher-johnson-davenport,"Dr. Christopher Johnson, MD","Davenport Depression Treatment Center",IA,dicebear
dr-ashley-patel-davenport,"Dr. Ashley Patel, MD","Davenport Depression Treatment Center",IA,dicebear
dr-william-lee-davenport,"Dr. William Lee, MD","Davenport Depression Treatment Center",IA,dicebear
dr-michael-lee-davenport,"Dr. Michael Lee, MD","Dr. Lee Private Practice",IA,dicebear
dr-james-garcia-davenport,"Dr. James Garcia, MD","Dr. Lee Private Practice",IA,dicebear
dr-lisa-johnson-sioux-city,"Dr. Lisa Johnson, MD","Sioux City TMS Center",IA,dicebear
dr-emily-johnson-sioux-city,"Dr. Emily Johnson, MD","Sioux City Mental Health & TMS",IA,dicebear
dr-alan-brown-sioux-city,"Dr. Alan Brown, MD","Sioux City Mental Health & TMS",IA,dicebear
dr-emily-smith-sioux-city,"Dr. Emily Smith, MD","Sioux City Mental Health & TMS",IA,dicebear
dr-james-smith-iowa-city,"Dr. James Smith, MD","Iowa City TMS Center",IA,dicebear
dr-james-johnson-iowa-city,"Dr. James Johnson, MD","Iowa City TMS Center",IA,dicebear
dr-jessica-davis-iowa-city,"Dr. Jessica Davis, MD","Iowa City TMS Center",IA,dicebear
dr-alan-wong-iowa-city,"Dr. Alan Wong, MD","Iowa City Mental Health & TMS",IA,dicebear
dr-jennifer-kim-iowa-city,"Dr. Jennifer Kim, MD","Iowa City Mental Health & TMS",IA,dicebear
dr-james-taylor-wichita,"Dr. James Taylor, MD","Wichita TMS Center",KS,dicebear
dr-michael-martinez-wichita,"Dr. Michael Martinez, MD","Wichita TMS Center",KS,dicebear
dr-michael-johnson-wichita,"Dr. Michael Johnson, MD","Wichita Mental Health & TMS",KS,dicebear
dr-ashley-moore-wichita,"Dr. Ashley Moore, MD","Wichita Mental Health & TMS",KS,dicebear
dr-maria-kim-wichita,"Dr. Maria Kim, MD","Wichita Mental Health & TMS",KS,dicebear
dr-robert-smith-overland-park,"Dr. Robert Smith, MD","Overland Park TMS Center",KS,dicebear
dr-jessica-smith-overland-park,"Dr. Jessica Smith, MD","Overland Park TMS Center",KS,dicebear
dr-david-johnson-overland-park,"Dr. David Johnson, MD","Overland Park Mental Health & TMS",KS,dicebear
dr-james-thomas-kansas-city,"Dr. James Thomas, MD","Kansas City TMS Center",KS,dicebear
dr-william-thomas-kansas-city,"Dr. William Thomas, MD","Kansas City TMS Center",KS,dicebear
dr-william-garcia-kansas-city,"Dr. William Garcia, MD","Kansas City Mental Health & TMS",KS,dicebear
dr-elizabeth-martinez-kansas-city,"Dr. Elizabeth Martinez, MD","Kansas City Mental Health & TMS",KS,dicebear
dr-lisa-kim-kansas-city,"Dr. Lisa Kim, MD","Kansas City Mental Health & TMS",KS,dicebear
dr-jessica-thomas-olathe,"Dr. Jessica Thomas, MD","Olathe TMS Center",KS,dicebear
dr-jessica-wong-olathe,"Dr. Jessica Wong, MD","Olathe TMS Center",KS,dicebear
dr-ashley-johnson-olathe,"Dr. Ashley Johnson, MD","Olathe TMS Center",KS,dicebear
dr-lisa-martinez-olathe,"Dr. Lisa Martinez, MD","Olathe Mental Health & TMS",KS,dicebear
dr-jennifer-kim-olathe,"Dr. Jennifer Kim, MD","Olathe Mental Health & TMS",KS,dicebear
dr-ashley-jackson-olathe,"Dr. Ashley Jackson, MD","Olathe Mental Health & TMS",KS,dicebear
dr-daniel-moore-topeka,"Dr. Daniel Moore, MD","Topeka TMS Center",KS,dicebear
dr-lisa-smith-topeka,"Dr. Lisa Smith, MD","Topeka Mental Health & TMS",KS,dicebear
dr-maria-patel-topeka,"Dr. Maria Patel, MD","Topeka Mental Health & TMS",KS,dicebear
dr-david-thomas-topeka,"Dr. David Thomas, MD","Topeka Mental Health & TMS",KS,dicebear
dr-daniel-johnson-topeka,"Dr. Daniel Johnson, MD","Topeka Depression Treatment Center",KS,dicebear
dr-daniel-martinez-topeka,"Dr. Daniel Martinez, MD","Topeka Depression Treatment Center",KS,dicebear
dr-maria-davis-louisville,"Dr. Maria Davis, MD","Louisville TMS Center",KY,dicebear
dr-william-moore-louisville,"Dr. William Moore, MD","Louisville TMS Center",KY,dicebear
dr-alan-jackson-louisville,"Dr. Alan Jackson, MD","Louisville TMS Center",KY,dicebear
