slug,name,city,state,current_hero
waldorf-mental-health-&-tms-waldorf,"Waldorf Mental Health & TMS","Waldorf",MD,placeholder
silver-spring-tms-center-silver-spring,"Silver Spring TMS Center","Silver Spring",MD,placeholder
silver-spring-mental-health-&-tms-silver-spring,"Silver Spring Mental Health & TMS","Silver Spring",MD,placeholder
silver-spring-depression-treatment-center-silver-spring,"Silver Spring Depression Treatment Center","Silver Spring",MD,placeholder
boston-tms-center-boston,"Boston TMS Center","Boston",MA,placeholder
boston-mental-health-&-tms-boston,"Boston Mental Health & TMS","Boston",MA,placeholder
boston-depression-treatment-center-boston,"Boston Depression Treatment Center","Boston",MA,placeholder
worcester-tms-center-worcester,"Worcester TMS Center","Worcester",MA,placeholder
worcester-mental-health-&-tms-worcester,"Worcester Mental Health & TMS","Worcester",MA,placeholder
springfield-tms-center-springfield,"Springfield TMS Center","Springfield",MA,placeholder
springfield-mental-health-&-tms-springfield,"Springfield Mental Health & TMS","Springfield",MA,placeholder
springfield-depression-treatment-center-springfield,"Springfield Depression Treatment Center","Springfield",MA,placeholder
cambridge-tms-center-cambridge,"Cambridge TMS Center","Cambridge",MA,placeholder
cambridge-mental-health-&-tms-cambridge,"Cambridge Mental Health & TMS","Cambridge",MA,placeholder
cambridge-depression-treatment-center-cambridge,"Cambridge Depression Treatment Center","Cambridge",MA,placeholder
dr-davis-private-practice-cambridge,"Dr. Davis Private Practice","Cambridge",MA,placeholder
lowell-tms-center-lowell,"Lowell TMS Center","Lowell",MA,placeholder
lowell-mental-health-&-tms-lowell,"Lowell Mental Health & TMS","Lowell",MA,placeholder
lowell-depression-treatment-center-lowell,"Lowell Depression Treatment Center","Lowell",MA,placeholder
dr-kim-private-practice-lowell,"Dr. Kim Private Practice","Lowell",MA,placeholder
detroit-tms-center-detroit,"Detroit TMS Center","Detroit",MI,placeholder
detroit-mental-health-&-tms-detroit,"Detroit Mental Health & TMS","Detroit",MI,placeholder
grand-rapids-tms-center-grand-rapids,"Grand Rapids TMS Center","Grand Rapids",MI,placeholder
grand-rapids-mental-health-&-tms-grand-rapids,"Grand Rapids Mental Health & TMS","Grand Rapids",MI,placeholder
grand-rapids-depression-treatment-center-grand-rapids,"Grand Rapids Depression Treatment Center","Grand Rapids",MI,placeholder
dr-garcia-private-practice-grand-rapids,"Dr. Garcia Private Practice","Grand Rapids",MI,placeholder
warren-tms-center-warren,"Warren TMS Center","Warren",MI,placeholder
warren-mental-health-&-tms-warren,"Warren Mental Health & TMS","Warren",MI,placeholder
sterling-heights-tms-center-sterling-heights,"Sterling Heights TMS Center","Sterling Heights",MI,placeholder
sterling-heights-mental-health-&-tms-sterling-heights,"Sterling Heights Mental Health & TMS","Sterling Heights",MI,placeholder
sterling-heights-depression-treatment-center-sterling-heights,"Sterling Heights Depression Treatment Center","Sterling Heights",MI,placeholder
dr-wong-private-practice-sterling-heights,"Dr. Wong Private Practice","Sterling Heights",MI,placeholder
ann-arbor-tms-center-ann-arbor,"Ann Arbor TMS Center","Ann Arbor",MI,placeholder
ann-arbor-mental-health-&-tms-ann-arbor,"Ann Arbor Mental Health & TMS","Ann Arbor",MI,placeholder
minneapolis-tms-center-minneapolis,"Minneapolis TMS Center","Minneapolis",MN,placeholder
minneapolis-mental-health-&-tms-minneapolis,"Minneapolis Mental Health & TMS","Minneapolis",MN,placeholder
minneapolis-depression-treatment-center-minneapolis,"Minneapolis Depression Treatment Center","Minneapolis",MN,placeholder
st-paul-tms-center-st-paul,"St. Paul TMS Center","St. Paul",MN,placeholder
st-paul-mental-health-&-tms-st-paul,"St. Paul Mental Health & TMS","St. Paul",MN,placeholder
rochester-tms-center-rochester,"Rochester TMS Center","Rochester",MN,placeholder
rochester-mental-health-&-tms-rochester,"Rochester Mental Health & TMS","Rochester",MN,placeholder
rochester-depression-treatment-center-rochester,"Rochester Depression Treatment Center","Rochester",MN,placeholder
dr-thomas-private-practice-rochester,"Dr. Thomas Private Practice","Rochester",MN,placeholder
bloomington-tms-center-bloomington,"Bloomington TMS Center","Bloomington",MN,placeholder
bloomington-mental-health-&-tms-bloomington,"Bloomington Mental Health & TMS","Bloomington",MN,placeholder
duluth-tms-center-duluth,"Duluth TMS Center","Duluth",MN,placeholder
duluth-mental-health-&-tms-duluth,"Duluth Mental Health & TMS","Duluth",MN,placeholder
duluth-depression-treatment-center-duluth,"Duluth Depression Treatment Center","Duluth",MN,placeholder
dr-lee-private-practice-duluth,"Dr. Lee Private Practice","Duluth",MN,placeholder
jackson-tms-center-jackson,"Jackson TMS Center","Jackson",MS,placeholder
jackson-mental-health-&-tms-jackson,"Jackson Mental Health & TMS","Jackson",MS,placeholder
jackson-depression-treatment-center-jackson,"Jackson Depression Treatment Center","Jackson",MS,placeholder
gulfport-tms-center-gulfport,"Gulfport TMS Center","Gulfport",MS,placeholder
gulfport-mental-health-&-tms-gulfport,"Gulfport Mental Health & TMS","Gulfport",MS,placeholder
southaven-tms-center-southaven,"Southaven TMS Center","Southaven",MS,placeholder
southaven-mental-health-&-tms-southaven,"Southaven Mental Health & TMS","Southaven",MS,placeholder
southaven-depression-treatment-center-southaven,"Southaven Depression Treatment Center","Southaven",MS,placeholder
dr-johnson-private-practice-southaven,"Dr. Johnson Private Practice","Southaven",MS,placeholder
biloxi-tms-center-biloxi,"Biloxi TMS Center","Biloxi",MS,placeholder
biloxi-mental-health-&-tms-biloxi,"Biloxi Mental Health & TMS","Biloxi",MS,placeholder
hattiesburg-tms-center-hattiesburg,"Hattiesburg TMS Center","Hattiesburg",MS,placeholder
hattiesburg-mental-health-&-tms-hattiesburg,"Hattiesburg Mental Health & TMS","Hattiesburg",MS,placeholder
kansas-city-tms-center-kansas-city-0,"Kansas City TMS Center","Kansas City",MO,placeholder
kansas-city-mental-health-&-tms-kansas-city-1,"Kansas City Mental Health & TMS","Kansas City",MO,placeholder
kansas-city-depression-treatment-center-kansas-city,"Kansas City Depression Treatment Center","Kansas City",MO,placeholder
dr-anderson-private-practice-kansas-city,"Dr. Anderson Private Practice","Kansas City",MO,placeholder
st-louis-tms-center-st-louis,"St. Louis TMS Center","St. Louis",MO,placeholder
st-louis-mental-health-&-tms-st-louis,"St. Louis Mental Health & TMS","St. Louis",MO,placeholder
st-louis-depression-treatment-center-st-louis,"St. Louis Depression Treatment Center","St. Louis",MO,placeholder
dr-lee-private-practice-st-louis,"Dr. Lee Private Practice","St. Louis",MO,placeholder
springfield-tms-center-springfield-0,"Springfield TMS Center","Springfield",MO,placeholder
springfield-mental-health-&-tms-springfield-1,"Springfield Mental Health & TMS","Springfield",MO,placeholder
springfield-depression-treatment-center-springfield-2,"Springfield Depression Treatment Center","Springfield",MO,placeholder
columbia-tms-center-columbia-0,"Columbia TMS Center","Columbia",MO,placeholder
columbia-mental-health-&-tms-columbia-1,"Columbia Mental Health & TMS","Columbia",MO,placeholder
independence-tms-center-independence,"Independence TMS Center","Independence",MO,placeholder
independence-mental-health-&-tms-independence,"Independence Mental Health & TMS","Independence",MO,placeholder
billings-tms-center-billings,"Billings TMS Center","Billings",MT,placeholder
billings-mental-health-&-tms-billings,"Billings Mental Health & TMS","Billings",MT,placeholder
billings-depression-treatment-center-billings,"Billings Depression Treatment Center","Billings",MT,placeholder
missoula-tms-center-missoula,"Missoula TMS Center","Missoula",MT,placeholder
missoula-mental-health-&-tms-missoula,"Missoula Mental Health & TMS","Missoula",MT,placeholder
great-falls-tms-center-great-falls,"Great Falls TMS Center","Great Falls",MT,placeholder
great-falls-mental-health-&-tms-great-falls,"Great Falls Mental Health & TMS","Great Falls",MT,placeholder
great-falls-depression-treatment-center-great-falls,"Great Falls Depression Treatment Center","Great Falls",MT,placeholder
dr-thomas-private-practice-great-falls,"Dr. Thomas Private Practice","Great Falls",MT,placeholder
bozeman-tms-center-bozeman,"Bozeman TMS Center","Bozeman",MT,placeholder
bozeman-mental-health-&-tms-bozeman,"Bozeman Mental Health & TMS","Bozeman",MT,placeholder
bozeman-depression-treatment-center-bozeman,"Bozeman Depression Treatment Center","Bozeman",MT,placeholder
dr-wilson-private-practice-bozeman,"Dr. Wilson Private Practice","Bozeman",MT,placeholder
butte-tms-center-butte,"Butte TMS Center","Butte",MT,placeholder
butte-mental-health-&-tms-butte,"Butte Mental Health & TMS","Butte",MT,placeholder
butte-depression-treatment-center-butte,"Butte Depression Treatment Center","Butte",MT,placeholder
omaha-tms-center-omaha,"Omaha TMS Center","Omaha",NE,placeholder
omaha-mental-health-&-tms-omaha,"Omaha Mental Health & TMS","Omaha",NE,placeholder
omaha-depression-treatment-center-omaha,"Omaha Depression Treatment Center","Omaha",NE,placeholder
dr-thomas-private-practice-omaha,"Dr. Thomas Private Practice","Omaha",NE,placeholder
lincoln-tms-center-lincoln,"Lincoln TMS Center","Lincoln",NE,placeholder
lincoln-mental-health-&-tms-lincoln,"Lincoln Mental Health & TMS","Lincoln",NE,placeholder
lincoln-depression-treatment-center-lincoln,"Lincoln Depression Treatment Center","Lincoln",NE,placeholder
dr-kim-private-practice-lincoln,"Dr. Kim Private Practice","Lincoln",NE,placeholder
bellevue-tms-center-bellevue,"Bellevue TMS Center","Bellevue",NE,placeholder
bellevue-mental-health-&-tms-bellevue,"Bellevue Mental Health & TMS","Bellevue",NE,placeholder
bellevue-depression-treatment-center-bellevue,"Bellevue Depression Treatment Center","Bellevue",NE,placeholder
grand-island-tms-center-grand-island,"Grand Island TMS Center","Grand Island",NE,placeholder
grand-island-mental-health-&-tms-grand-island,"Grand Island Mental Health & TMS","Grand Island",NE,placeholder
grand-island-depression-treatment-center-grand-island,"Grand Island Depression Treatment Center","Grand Island",NE,placeholder
kearney-tms-center-kearney,"Kearney TMS Center","Kearney",NE,placeholder
kearney-mental-health-&-tms-kearney,"Kearney Mental Health & TMS","Kearney",NE,placeholder
las-vegas-tms-center-las-vegas,"Las Vegas TMS Center","Las Vegas",NV,placeholder
las-vegas-mental-health-&-tms-las-vegas,"Las Vegas Mental Health & TMS","Las Vegas",NV,placeholder
las-vegas-depression-treatment-center-las-vegas,"Las Vegas Depression Treatment Center","Las Vegas",NV,placeholder
henderson-tms-center-henderson,"Henderson TMS Center","Henderson",NV,placeholder
henderson-mental-health-&-tms-henderson,"Henderson Mental Health & TMS","Henderson",NV,placeholder
henderson-depression-treatment-center-henderson,"Henderson Depression Treatment Center","Henderson",NV,placeholder
dr-jackson-private-practice-henderson,"Dr. Jackson Private Practice","Henderson",NV,placeholder
north-las-vegas-tms-center-north-las-vegas,"North Las Vegas TMS Center","North Las Vegas",NV,placeholder
north-las-vegas-mental-health-&-tms-north-las-vegas,"North Las Vegas Mental Health & TMS","North Las Vegas",NV,placeholder
north-las-vegas-depression-treatment-center-north-las-vegas,"North Las Vegas Depression Treatment Center","North Las Vegas",NV,placeholder
reno-tms-center-reno,"Reno TMS Center","Reno",NV,placeholder
reno-mental-health-&-tms-reno,"Reno Mental Health & TMS","Reno",NV,placeholder
enterprise-tms-center-enterprise,"Enterprise TMS Center","Enterprise",NV,placeholder
enterprise-mental-health-&-tms-enterprise,"Enterprise Mental Health & TMS","Enterprise",NV,placeholder
enterprise-depression-treatment-center-enterprise,"Enterprise Depression Treatment Center","Enterprise",NV,placeholder
dr-taylor-private-practice-enterprise,"Dr. Taylor Private Practice","Enterprise",NV,placeholder
manchester-tms-center-manchester,"Manchester TMS Center","Manchester",NH,placeholder
manchester-mental-health-&-tms-manchester,"Manchester Mental Health & TMS","Manchester",NH,placeholder
manchester-depression-treatment-center-manchester,"Manchester Depression Treatment Center","Manchester",NH,placeholder
dr-lee-private-practice-manchester,"Dr. Lee Private Practice","Manchester",NH,placeholder
nashua-tms-center-nashua,"Nashua TMS Center","Nashua",NH,placeholder
nashua-mental-health-&-tms-nashua,"Nashua Mental Health & TMS","Nashua",NH,placeholder
nashua-depression-treatment-center-nashua,"Nashua Depression Treatment Center","Nashua",NH,placeholder
dr-smith-private-practice-nashua,"Dr. Smith Private Practice","Nashua",NH,placeholder
concord-tms-center-concord,"Concord TMS Center","Concord",NH,placeholder
concord-mental-health-&-tms-concord,"Concord Mental Health & TMS","Concord",NH,placeholder
concord-depression-treatment-center-concord,"Concord Depression Treatment Center","Concord",NH,placeholder
derry-tms-center-derry,"Derry TMS Center","Derry",NH,placeholder
derry-mental-health-&-tms-derry,"Derry Mental Health & TMS","Derry",NH,placeholder
derry-depression-treatment-center-derry,"Derry Depression Treatment Center","Derry",NH,placeholder
dover-tms-center-dover-0,"Dover TMS Center","Dover",NH,placeholder
dover-mental-health-&-tms-dover-1,"Dover Mental Health & TMS","Dover",NH,placeholder
dover-depression-treatment-center-dover-2,"Dover Depression Treatment Center","Dover",NH,placeholder
newark-tms-center-newark-0,"Newark TMS Center","Newark",NJ,placeholder
newark-mental-health-&-tms-newark-1,"Newark Mental Health & TMS","Newark",NJ,placeholder
jersey-city-tms-center-jersey-city,"Jersey City TMS Center","Jersey City",NJ,placeholder
jersey-city-mental-health-&-tms-jersey-city,"Jersey City Mental Health & TMS","Jersey City",NJ,placeholder
paterson-tms-center-paterson,"Paterson TMS Center","Paterson",NJ,placeholder
paterson-mental-health-&-tms-paterson,"Paterson Mental Health & TMS","Paterson",NJ,placeholder
paterson-depression-treatment-center-paterson,"Paterson Depression Treatment Center","Paterson",NJ,placeholder
elizabeth-tms-center-elizabeth,"Elizabeth TMS Center","Elizabeth",NJ,placeholder
elizabeth-mental-health-&-tms-elizabeth,"Elizabeth Mental Health & TMS","Elizabeth",NJ,placeholder
lakewood-tms-center-lakewood-0,"Lakewood TMS Center","Lakewood",NJ,placeholder
lakewood-mental-health-&-tms-lakewood-1,"Lakewood Mental Health & TMS","Lakewood",NJ,placeholder
lakewood-depression-treatment-center-lakewood-2,"Lakewood Depression Treatment Center","Lakewood",NJ,placeholder
dr-brown-private-practice-lakewood,"Dr. Brown Private Practice","Lakewood",NJ,placeholder
albuquerque-tms-center-albuquerque,"Albuquerque TMS Center","Albuquerque",NM,placeholder
albuquerque-mental-health-&-tms-albuquerque,"Albuquerque Mental Health & TMS","Albuquerque",NM,placeholder
las-cruces-tms-center-las-cruces,"Las Cruces TMS Center","Las Cruces",NM,placeholder
las-cruces-mental-health-&-tms-las-cruces,"Las Cruces Mental Health & TMS","Las Cruces",NM,placeholder
rio-rancho-tms-center-rio-rancho,"Rio Rancho TMS Center","Rio Rancho",NM,placeholder
rio-rancho-mental-health-&-tms-rio-rancho,"Rio Rancho Mental Health & TMS","Rio Rancho",NM,placeholder
rio-rancho-depression-treatment-center-rio-rancho,"Rio Rancho Depression Treatment Center","Rio Rancho",NM,placeholder
dr-martinez-private-practice-rio-rancho,"Dr. Martinez Private Practice","Rio Rancho",NM,placeholder
santa-fe-tms-center-santa-fe,"Santa Fe TMS Center","Santa Fe",NM,placeholder
santa-fe-mental-health-&-tms-santa-fe,"Santa Fe Mental Health & TMS","Santa Fe",NM,placeholder
santa-fe-depression-treatment-center-santa-fe,"Santa Fe Depression Treatment Center","Santa Fe",NM,placeholder
roswell-tms-center-roswell,"Roswell TMS Center","Roswell",NM,placeholder
roswell-mental-health-&-tms-roswell,"Roswell Mental Health & TMS","Roswell",NM,placeholder
roswell-depression-treatment-center-roswell,"Roswell Depression Treatment Center","Roswell",NM,placeholder
new-york-tms-center-new-york,"New York TMS Center","New York",NY,placeholder
new-york-mental-health-&-tms-new-york,"New York Mental Health & TMS","New York",NY,placeholder
new-york-depression-treatment-center-new-york,"New York Depression Treatment Center","New York",NY,placeholder
manhattan-tms-center-manhattan,"Manhattan TMS Center","Manhattan",NY,placeholder
manhattan-mental-health-&-tms-manhattan,"Manhattan Mental Health & TMS","Manhattan",NY,placeholder
manhattan-depression-treatment-center-manhattan,"Manhattan Depression Treatment Center","Manhattan",NY,placeholder
dr-garcia-private-practice-manhattan,"Dr. Garcia Private Practice","Manhattan",NY,placeholder
brooklyn-tms-center-brooklyn,"Brooklyn TMS Center","Brooklyn",NY,placeholder
brooklyn-mental-health-&-tms-brooklyn,"Brooklyn Mental Health & TMS","Brooklyn",NY,custom
bronx-tms-center-bronx,"Bronx TMS Center","Bronx",NY,placeholder
bronx-mental-health-&-tms-bronx,"Bronx Mental Health & TMS","Bronx",NY,placeholder
bronx-depression-treatment-center-bronx,"Bronx Depression Treatment Center","Bronx",NY,placeholder
dr-lee-private-practice-bronx,"Dr. Lee Private Practice","Bronx",NY,placeholder
staten-island-tms-center-staten-island,"Staten Island TMS Center","Staten Island",NY,placeholder
staten-island-mental-health-&-tms-staten-island,"Staten Island Mental Health & TMS","Staten Island",NY,placeholder
staten-island-depression-treatment-center-staten-island,"Staten Island Depression Treatment Center","Staten Island",NY,placeholder
dr-thomas-private-practice-staten-island,"Dr. Thomas Private Practice","Staten Island",NY,placeholder
queens-tms-center-queens,"Queens TMS Center","Queens",NY,placeholder
queens-mental-health-&-tms-queens,"Queens Mental Health & TMS","Queens",NY,placeholder
queens-depression-treatment-center-queens,"Queens Depression Treatment Center","Queens",NY,placeholder
buffalo-tms-center-buffalo,"Buffalo TMS Center","Buffalo",NY,placeholder
buffalo-mental-health-&-tms-buffalo,"Buffalo Mental Health & TMS","Buffalo",NY,placeholder
buffalo-depression-treatment-center-buffalo,"Buffalo Depression Treatment Center","Buffalo",NY,placeholder
yonkers-tms-center-yonkers,"Yonkers TMS Center","Yonkers",NY,placeholder
yonkers-mental-health-&-tms-yonkers,"Yonkers Mental Health & TMS","Yonkers",NY,placeholder
yonkers-depression-treatment-center-yonkers,"Yonkers Depression Treatment Center","Yonkers",NY,placeholder
rochester-tms-center-rochester-0,"Rochester TMS Center","Rochester",NY,placeholder
rochester-mental-health-&-tms-rochester-1,"Rochester Mental Health & TMS","Rochester",NY,placeholder
syracuse-tms-center-syracuse,"Syracuse TMS Center","Syracuse",NY,placeholder
syracuse-mental-health-&-tms-syracuse,"Syracuse Mental Health & TMS","Syracuse",NY,placeholder
charlotte-tms-center-charlotte,"Charlotte TMS Center","Charlotte",NC,placeholder
charlotte-mental-health-&-tms-charlotte,"Charlotte Mental Health & TMS","Charlotte",NC,placeholder
charlotte-depression-treatment-center-charlotte,"Charlotte Depression Treatment Center","Charlotte",NC,placeholder
dr-martinez-private-practice-charlotte,"Dr. Martinez Private Practice","Charlotte",NC,placeholder
raleigh-tms-center-raleigh,"Raleigh TMS Center","Raleigh",NC,placeholder
raleigh-mental-health-&-tms-raleigh,"Raleigh Mental Health & TMS","Raleigh",NC,placeholder
raleigh-depression-treatment-center-raleigh,"Raleigh Depression Treatment Center","Raleigh",NC,placeholder
durham-tms-center-durham,"Durham TMS Center","Durham",NC,placeholder
durham-mental-health-&-tms-durham,"Durham Mental Health & TMS","Durham",NC,placeholder
durham-depression-treatment-center-durham,"Durham Depression Treatment Center","Durham",NC,placeholder
greensboro-tms-center-greensboro,"Greensboro TMS Center","Greensboro",NC,placeholder
greensboro-mental-health-&-tms-greensboro,"Greensboro Mental Health & TMS","Greensboro",NC,placeholder
greensboro-depression-treatment-center-greensboro,"Greensboro Depression Treatment Center","Greensboro",NC,placeholder
winston-salem-tms-center-winston-salem,"Winston-Salem TMS Center","Winston-Salem",NC,placeholder
winston-salem-mental-health-&-tms-winston-salem,"Winston-Salem Mental Health & TMS","Winston-Salem",NC,placeholder
fargo-tms-center-fargo,"Fargo TMS Center","Fargo",ND,placeholder
fargo-mental-health-&-tms-fargo,"Fargo Mental Health & TMS","Fargo",ND,placeholder
fargo-depression-treatment-center-fargo,"Fargo Depression Treatment Center","Fargo",ND,placeholder
dr-kim-private-practice-fargo,"Dr. Kim Private Practice","Fargo",ND,placeholder
bismarck-tms-center-bismarck,"Bismarck TMS Center","Bismarck",ND,placeholder
bismarck-mental-health-&-tms-bismarck,"Bismarck Mental Health & TMS","Bismarck",ND,placeholder
bismarck-depression-treatment-center-bismarck,"Bismarck Depression Treatment Center","Bismarck",ND,placeholder
grand-forks-tms-center-grand-forks,"Grand Forks TMS Center","Grand Forks",ND,placeholder
grand-forks-mental-health-&-tms-grand-forks,"Grand Forks Mental Health & TMS","Grand Forks",ND,placeholder
grand-forks-depression-treatment-center-grand-forks,"Grand Forks Depression Treatment Center","Grand Forks",ND,placeholder
minot-tms-center-minot,"Minot TMS Center","Minot",ND,placeholder
minot-mental-health-&-tms-minot,"Minot Mental Health & TMS","Minot",ND,placeholder
minot-depression-treatment-center-minot,"Minot Depression Treatment Center","Minot",ND,placeholder
dr-taylor-private-practice-minot,"Dr. Taylor Private Practice","Minot",ND,placeholder
west-fargo-tms-center-west-fargo,"West Fargo TMS Center","West Fargo",ND,placeholder
west-fargo-mental-health-&-tms-west-fargo,"West Fargo Mental Health & TMS","West Fargo",ND,placeholder
west-fargo-depression-treatment-center-west-fargo,"West Fargo Depression Treatment Center","West Fargo",ND,placeholder
columbus-tms-center-columbus-0,"Columbus TMS Center","Columbus",OH,placeholder
columbus-mental-health-&-tms-columbus-1,"Columbus Mental Health & TMS","Columbus",OH,placeholder
columbus-depression-treatment-center-columbus-2,"Columbus Depression Treatment Center","Columbus",OH,placeholder
dr-jackson-private-practice-columbus-3,"Dr. Jackson Private Practice","Columbus",OH,placeholder
cleveland-tms-center-cleveland,"Cleveland TMS Center","Cleveland",OH,placeholder
cleveland-mental-health-&-tms-cleveland,"Cleveland Mental Health & TMS","Cleveland",OH,placeholder
cleveland-depression-treatment-center-cleveland,"Cleveland Depression Treatment Center","Cleveland",OH,placeholder
cincinnati-tms-center-cincinnati,"Cincinnati TMS Center","Cincinnati",OH,placeholder
cincinnati-mental-health-&-tms-cincinnati,"Cincinnati Mental Health & TMS","Cincinnati",OH,placeholder
cincinnati-depression-treatment-center-cincinnati,"Cincinnati Depression Treatment Center","Cincinnati",OH,placeholder
dr-davis-private-practice-cincinnati,"Dr. Davis Private Practice","Cincinnati",OH,placeholder
toledo-tms-center-toledo,"Toledo TMS Center","Toledo",OH,placeholder
toledo-mental-health-&-tms-toledo,"Toledo Mental Health & TMS","Toledo",OH,placeholder
toledo-depression-treatment-center-toledo,"Toledo Depression Treatment Center","Toledo",OH,placeholder
dr-moore-private-practice-toledo,"Dr. Moore Private Practice","Toledo",OH,placeholder
akron-tms-center-akron,"Akron TMS Center","Akron",OH,placeholder
akron-mental-health-&-tms-akron,"Akron Mental Health & TMS","Akron",OH,placeholder
oklahoma-city-tms-center-oklahoma-city,"Oklahoma City TMS Center","Oklahoma City",OK,placeholder
oklahoma-city-mental-health-&-tms-oklahoma-city,"Oklahoma City Mental Health & TMS","Oklahoma City",OK,placeholder
tulsa-tms-center-tulsa,"Tulsa TMS Center","Tulsa",OK,placeholder
tulsa-mental-health-&-tms-tulsa,"Tulsa Mental Health & TMS","Tulsa",OK,placeholder
tulsa-depression-treatment-center-tulsa,"Tulsa Depression Treatment Center","Tulsa",OK,placeholder
norman-tms-center-norman,"Norman TMS Center","Norman",OK,placeholder
norman-mental-health-&-tms-norman,"Norman Mental Health & TMS","Norman",OK,placeholder
norman-depression-treatment-center-norman,"Norman Depression Treatment Center","Norman",OK,placeholder
broken-arrow-tms-center-broken-arrow,"Broken Arrow TMS Center","Broken Arrow",OK,placeholder
broken-arrow-mental-health-&-tms-broken-arrow,"Broken Arrow Mental Health & TMS","Broken Arrow",OK,placeholder
broken-arrow-depression-treatment-center-broken-arrow,"Broken Arrow Depression Treatment Center","Broken Arrow",OK,placeholder
edmond-tms-center-edmond,"Edmond TMS Center","Edmond",OK,placeholder
edmond-mental-health-&-tms-edmond,"Edmond Mental Health & TMS","Edmond",OK,placeholder
edmond-depression-treatment-center-edmond,"Edmond Depression Treatment Center","Edmond",OK,placeholder
dr-davis-private-practice-edmond,"Dr. Davis Private Practice","Edmond",OK,placeholder
portland-tms-center-portland-0,"Portland TMS Center","Portland",OR,placeholder
portland-mental-health-&-tms-portland-1,"Portland Mental Health & TMS","Portland",OR,custom
eugene-tms-center-eugene,"Eugene TMS Center","Eugene",OR,placeholder
eugene-mental-health-&-tms-eugene,"Eugene Mental Health & TMS","Eugene",OR,placeholder
salem-tms-center-salem,"Salem TMS Center","Salem",OR,placeholder
salem-mental-health-&-tms-salem,"Salem Mental Health & TMS","Salem",OR,placeholder
salem-depression-treatment-center-salem,"Salem Depression Treatment Center","Salem",OR,placeholder
dr-jackson-private-practice-salem,"Dr. Jackson Private Practice","Salem",OR,placeholder
gresham-tms-center-gresham,"Gresham TMS Center","Gresham",OR,placeholder
gresham-mental-health-&-tms-gresham,"Gresham Mental Health & TMS","Gresham",OR,placeholder
hillsboro-tms-center-hillsboro,"Hillsboro TMS Center","Hillsboro",OR,placeholder
hillsboro-mental-health-&-tms-hillsboro,"Hillsboro Mental Health & TMS","Hillsboro",OR,placeholder
philadelphia-tms-center-philadelphia,"Philadelphia TMS Center","Philadelphia",PA,placeholder
philadelphia-mental-health-&-tms-philadelphia,"Philadelphia Mental Health & TMS","Philadelphia",PA,placeholder
philadelphia-depression-treatment-center-philadelphia,"Philadelphia Depression Treatment Center","Philadelphia",PA,placeholder
dr-taylor-private-practice-philadelphia,"Dr. Taylor Private Practice","Philadelphia",PA,placeholder
pittsburgh-tms-center-pittsburgh,"Pittsburgh TMS Center","Pittsburgh",PA,placeholder
pittsburgh-mental-health-&-tms-pittsburgh,"Pittsburgh Mental Health & TMS","Pittsburgh",PA,placeholder
pittsburgh-depression-treatment-center-pittsburgh,"Pittsburgh Depression Treatment Center","Pittsburgh",PA,placeholder
allentown-tms-center-allentown,"Allentown TMS Center","Allentown",PA,placeholder
allentown-mental-health-&-tms-allentown,"Allentown Mental Health & TMS","Allentown",PA,placeholder
allentown-depression-treatment-center-allentown,"Allentown Depression Treatment Center","Allentown",PA,placeholder
dr-kim-private-practice-allentown,"Dr. Kim Private Practice","Allentown",PA,placeholder
reading-tms-center-reading,"Reading TMS Center","Reading",PA,placeholder
reading-mental-health-&-tms-reading,"Reading Mental Health & TMS","Reading",PA,placeholder
reading-depression-treatment-center-reading,"Reading Depression Treatment Center","Reading",PA,placeholder
erie-tms-center-erie,"Erie TMS Center","Erie",PA,placeholder
erie-mental-health-&-tms-erie,"Erie Mental Health & TMS","Erie",PA,placeholder
erie-depression-treatment-center-erie,"Erie Depression Treatment Center","Erie",PA,placeholder
dr-anderson-private-practice-erie,"Dr. Anderson Private Practice","Erie",PA,placeholder
providence-tms-center-providence,"Providence TMS Center","Providence",RI,placeholder
providence-mental-health-&-tms-providence,"Providence Mental Health & TMS","Providence",RI,placeholder
cranston-tms-center-cranston,"Cranston TMS Center","Cranston",RI,placeholder
cranston-mental-health-&-tms-cranston,"Cranston Mental Health & TMS","Cranston",RI,placeholder
cranston-depression-treatment-center-cranston,"Cranston Depression Treatment Center","Cranston",RI,placeholder
warwick-tms-center-warwick,"Warwick TMS Center","Warwick",RI,placeholder
warwick-mental-health-&-tms-warwick,"Warwick Mental Health & TMS","Warwick",RI,placeholder
warwick-depression-treatment-center-warwick,"Warwick Depression Treatment Center","Warwick",RI,placeholder
dr-wilson-private-practice-warwick,"Dr. Wilson Private Practice","Warwick",RI,placeholder
pawtucket-tms-center-pawtucket,"Pawtucket TMS Center","Pawtucket",RI,placeholder
pawtucket-mental-health-&-tms-pawtucket,"Pawtucket Mental Health & TMS","Pawtucket",RI,placeholder
pawtucket-depression-treatment-center-pawtucket,"Pawtucket Depression Treatment Center","Pawtucket",RI,placeholder
dr-wilson-private-practice-pawtucket,"Dr. Wilson Private Practice","Pawtucket",RI,placeholder
east-providence-tms-center-east-providence,"East Providence TMS Center","East Providence",RI,placeholder
east-providence-mental-health-&-tms-east-providence,"East Providence Mental Health & TMS","East Providence",RI,placeholder
east-providence-depression-treatment-center-east-providence,"East Providence Depression Treatment Center","East Providence",RI,placeholder
dr-moore-private-practice-east-providence,"Dr. Moore Private Practice","East Providence",RI,placeholder
